NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
échi si bél á...aminá kuá si?pe tékiri chópím ka re ko ke birém riwéamti ko ra ti chéram ne bachirá bo'óori ro (no deya (de tomar) mi jermano mayor, el de allá ariba)...échi s ti wiríaro lá, a'rí na		‘nomás los borrachos, porque no deja (de tomar) mi hermano mayor, el de allá arriba’‘a él también, y quien otro?	'just the drunk men, because my older brother never stops (drinking), the one from up there''him too, and who else?'		in243[15_594-16_065].wav
a'rí mi compadre chi...ná...Marero mi ri...		‘y luego mi compadre Madero’	'and then my compadre Madero'		in243[16_065-16_088].wav
pe chikócho íri ke tope chikócho íri ko ra échi		‘también es igual él’‘si, también es igual’	'he is the same way''yes, he's the same way''		in243[16_102-16_126].wav
riwé mi réi iká ba káchi biré ará kó'awa ré pa ní		‘nunca va a dejar de hacer aire, porque no le van a dar bien de come	'it will never stop being so windy, because they don't feed him well		in243[16_178-16_205].wav
ke pirá tási ka chiriká ko pe ke biré ará oríiram ruwá aré a'rí ro		‘dicen que no lo hicieron bien esa vez, verdad?’‘asi no está bien	' they say they didn't do it right that time, right?''that's not right'		in243[16_205-16_235].wav
kíti bél á kí...kíti béli pe kem riwéa simí aré échi iká ba ke ará kó'aria ba		‘por eso no deja el aire porque no le dieron bien de comer‘por eso...’	'that's why the wind doesn't stop, because they didn't feed him well''that's why'		in243[16_251-16_287].wav
jaré na ko á ma we a'rá oríiram ruwá riké ro kíti birá ti...		‘en otras partes dicen que ya lo hicieron muy bien, por eso...	'in other places they say they already did it right, so...'		in243[16_321-16_358].wav
pe tamó biráni lín mayéa níri ke me a'rá m oráamti...		‘pienso que nomás nosotros no lo hacmeos bien’	'I think it's just us who don't do it well'		in243[16_382-16_423].wav
we ta wé birá bajéam ba		‘pues somos muy tomadores’	'well, we're heavy drinkers'		in243[16_423-16_444].wav
chu ko rikó ku natábo pe a'rá bachína oráa ba (quién sabe cuando iremos a pensar a jacer derecho (bien) la fiesta)		‘quién sabe cuando iremos a pensar bien a hacerlo derecho (bien) la fiesta’	'who knows when we are going to think seriously about throwing the celebration properly'		in243[16_466-16_506].wav
na mi chakéna síri rarámuri...ke bi sinéti ku a'rá bachiná ba ré jípi ko...		‘ya nunca lo vamos a poder hacer derecho ahora’‘ya van más de otro lado las gentes’	'we'll never be able to do it right now''people are already going in further in the other direction'		in243[16_532-16_565].wav
pe ke pirá nísa ré to (parece que no)		‘parece que no’	'it doesn't seem like it'		in243[16_565-16_580].wav
pe birá ko... (nomás que...)		‘nomás que...’	'it's just that...'		in243[16_580-17_019].wav
pe ke siwiríwam ju aré chimí narína píri be to rá siwébo pe ma be ti chakéna (no jay que sentirnos tristes de eso)		‘no hay que sentirnos tristes para ese lado’	'there's no need for us to feel bad about that'		in243[17_019-17_061].wav
urí chiriká birá ba...orámi lína á riká ba ...		‘sí, asi es’	'yes, exactly'		in243[17_061-17_079].wav
ówa...we pe napabúka óusi kíri línaá birá ko iwériri á nakí we échi ko...arína		'si hay que hacerle la lucha a eso‘si, junten para que lo fertilicen’	'yes, we need to fight for that' (??)'yes, get together so you can fertilize it!'		in243[17_128-17_172].wav
we pi ko ne ku isábika bajíba ré ma óusa na pachí ba...me bajíami nakí orá..chiriká birá nakía ko...		‘necesitan los que casi no tomen...asi necesitan’‘si, necesitan tomar hasta que terminen de fertilizar este maiz’	'we need people who hardly drink...that's what we need''yes, they need to drink until they finish fertilizing this corn'		in243[17_222-17_273].wav
narína ma ti we a'rá náa...		‘y también necesitamos pedirle fuerzas al gobernador...’	'and we also need to ask the governor for armed forces'		in243[17_290-17_315].wav
iwériri tánika nakía orá nápu rikámi siríamti narína kíti ko we iwéami		‘y también necesitamos pedirle fuerzas al gobernador...’	'and we also need to ask the governor for armed forces'		in243[17_315-17_360].wav
ke me si inása choná awílichi a'rí birá ke mem...		'when he isn't over there where they dance	'when he isn't over there where they dance		in243[17_414-17_446].wav
ke birá ko (ka) a'rá ka pakótami we awéniri ko ba...ma a'rá orá onokámka		‘no lo hacen bien’‘pues no hacen la fiesta las gentes solas (si no viene el gobernador)’	'they don't do it right''well people don't throw the celebrations on their own (if the governor doesn't come)		in243[17_446-17_488].wav
we siríami we a'rá nawesása ko we birá nawaká..we a'rá ko na awílichi ba...awilíchi nawaká banarína...		‘si llegara el gobernador a dar discurso (nawésari) donde están bailando...está muy bien llegando ahi donde están bailando’	'if the governor came to give the ceremonial speech where they're dancing...it's very good to go there where they're dancing (??)		in243[17_488-17_567].wav
ke nakisá rikéla ro échi cho ma nápi riká bachá bajíma cho ma....		‘no debería de dejar el de que tomen primero’	'he shouldn't let them drink first'		in243[17_567-18_008].wav
kóchi échi béli wabé animéa ba...we animéa ba... a'rá nísa riká ba		‘así debería de ser (estaría bien)’ ‘si, él debería decir mucho, mucho’	'that's how it should be''yes, he should say a lot, a lot'		in243[18_008-18_047].wav
úwa		‘sí’			in243[18_047-18_059].wav
weno...pe birá...wabé níni isía iká á banibí		‘bueno...está muy duro el aire’	'well...the wind is very stiff'		in243[18_076-18_105].wav
a'rá ju ko		‘está bien	'okay'		in243[18_166-18_178].wav
jípi ko nápu riká birá ko jónsa o'íiri re pa nápu riká na kawí chabée jónsa ba		‘y entonce ahora desde que empezó este mundo desde antes’	'now before this world came into being'		in243[18_192-18_250].wav
chu riká jonsa, chu rikámi ka riwéeri aré (cómo sería o cómo estaría)		‘cómo sería o cómo estaría?’	'what might that have been like?'		in243[18_250-18_281].wav
ke ni machíam la wabé cho ko ki'á níra aré pa		‘no se, sería mucho antes yo creo’	'I don't know, it would've been a very long time ago I think'		in243[18_297-18_332].wav
wabé ki'á níri aré...wabé ki'áwara cho machí, ke pi wési ité pa ki'áawam bawabé cho ki'á birá níra ré?...ki'áwara cho machí...		sería mucho antes...saben los de antes...’	'it would've been a long time ago....but the people from that time know'		in243[18_332-18_400].wav
úwa...nápu riká biwachéa ru atí bisána júri m anía achaní jaré ru		‘cuando empezó a madurar se cayó tres veces, así dicen unos’‘sí’	'when it began to mature it fell three times, as some say''yes'		in243[18_474-18_517].wav
uj...besá najúura rúa á rúá wichíari ju aré chiriká?		‘sí será cierto así?’‘ah si, dicen que sí se cayó tres veces’	'it really is true?''ah yes, they say it fell three times'		in243[18_517-18_540].wav
á wichíari ka ruwá ro (dicen que sí es cierto)		‘dicen que sí es cierto’	'they say it is indeed true'		in243[18_540-18_552].wav
iséni be ko rijóori ki'á ko...kíti ku tamó rarámuri pe kuríi ochérikam ju tamó kochirikám ruwéa achaní cho...		‘así les decía’...‘antes vivían de otros (gentes), hace poco que crecimos nosotros los rarámuri, la gente como nosotros’	'that's what he would say to them'... (?)'before, other peoples lived here, and only recently did we, the Rarámuri, the people like us, come about'		in243[18_578-19_049].wav
ujum...sinéwi ko ba?		‘la primera vez?’ uhum	'the first time?'uhum		in243[19_082-19_093].wav
che cho á, che cho áche cho osámi, che cho iséni níri ba?		‘y la segunda vez vivían otros?’‘también otra vez, también otra vez’	'and the second time other peoples lived here?''another time too, another time too''		in243[19_119-19_138].wav
che cho isénira ba		'otros'	'others'		in243[19_138-19_154].wav
che cho bisá birá...bisá birá bu'ára aré pa		‘si, salieron tres veces’	'yes, they came into being three times'		in243[19_154-19_185].wav
tamó bu'ála ba, we rarámuri bu'ála (salimos nosotros, muchas gentes de nosotros salimos)aj...		'ah...'‘ya salimos nosotros, ya muchos rarámuri salimos	'ah''then we came about, many Rarámuri like us came about'		in243[19_210-19_235].wav
pe ke obátam be, we bi ko obátami níra ruá ki'áwam ko ru		‘ya no bravos, porque los de antes dicen que eran muy bravos’	'not fierce anymore, because the people from before said that they were very fierce'		in243[19_235-19_277].wav
we obátami...chabéi échi nápi bachá rijóori ko?		‘ellos los que vivían primero’ ‘muy bravos...’	'the ones who lived first''very fierce'		in243[19_285-19_302].wav
ujummm...nawénika í mi'ári échi ko ba (lo mataban entre muchos)		‘lo mataban entre muchos juntos ellos’ 'uhummm'	'a group of many of them killed him together''uhummm'		in243[19_363-19_379].wav
mechóka be retéti che newárami á muchú jémi chubéami ru		haciendo una piedra, de esas que se ven aqui, de esas picudas’	'making a rock, like one of those you see around here, with the spikes'		in243[19_387-19_424].wav
je...á birá ko muchú échi náti lá ko nakóam níri		‘ah sí se ven (sí hay), con ese se peleaban’	'ah, yes you do se'ah yes you do see them, they used to fight with those'		in243[19_424-19_447].wav
káchi nirúuri ba ripurá pa		‘no había hachas’	'there were no axes'		in243[19_469-19_486].wav
ke ra ba		'pues no'	'no there weren't'		in243[19_486-19_493].wav
a'rí échi riká birá		‘y eso cuando se endureció...	'and when it hardened...'		in243[19_536-19_550].wav
échi bikiá biwachésa a'rí jo...bisá nirám nam najúa ikisáa a'rí ku biwachésa a'rí chijónsa ma ke...		cuando se cayó tres veces y cuando se endureció, y entnces ya no...’	'when it fell three times and hardened, then there was no more...'		in243[19_550-19_597].wav
ma chijónsa ke namú simíra ba		‘ya desde entonces no pasó nada’	'since then nothing has happened'		in243[19_597-20_024].wav
ke namú simí jípi ko ba		'ahora no pasa/hace nada'	'now nothing is going on/it doesn't do anything'		in243[20_024-20_043].wav
che cho ke re ku kinána ko ba (a lo meyor después otra vez)		‘a lo mejor después otra vez’	'maybe one more time'		in243[20_043-20_059].wav
che cho berám mayewa ré to		'pues piensan que otra vez'	'well they think one more time'		in243[20_059-20_078].wav
anáuri ku mochísima ruwám ka jípi ko		‘dicen que se van a levantar los de allá los de mucho antes’	'they say that the ones from over there, the ones from a long ago will rise'		in243[20_117-20_147].wav
we le lowárma bachiriká birátim...		‘a lo mejor así nos iremos a ir muriendo (acabando) nosotros’‘sí, va a haber mucha hambre’	'and maybe that is how we will die (meet our end)''yes, there will be a famin'		in243[20_254-20_273].wav
...suwíspi ré ma tamó ko ba (así nos iremos a ir muriendo nosotros)		‘a lo mejor así nos iremos a ir muriendo (acabando) nosotros’	'and maybe that's how we will die (meet our end).'		in243[20_273-20_291].wav
pe chiriká suwibóaré ma		‘a lo mejor así nos vamos a morir’	'maybe that is how we will die'		in243[20_291-20_305].wav
pe birá		‘ah, así decían que se iban a levantar ellos?’	'ah, that's how they said they would rise?'		in243[20_305-20_341].wav
échi riká manía achaníira ré na ku échi ulína ku mochísma rá ba		‘ah, así decían que se iban a levantar ellos?’	‘ah, así decían que se iban a levantar ellos?’		in243[20_341-20_384].wav
ajj...ej, chabésa ki'ása...?		‘ah, desde antes?’ahh	'since previous times'ahh		in243[20_404-20_419].wav
ku iséniko buáma ruá, manía aniwá...jummmiséniko buáma ruá?		'ah, van a salir los otros?'‘sí, dicen que van a salir de esos otros (los que murieon antes), así dicen’	'ah, the others are going to come out?''yes, they say they will come out from the others (who died before)'		in243[20_419-20_469].wav
ke pirá che re cho aré ti...		‘pues ni modo’	'well whatever'		in243[20_494-20_507].wav
pe ke pirá chíbi...pe ke ra ba, ka che che néa níma cho pachíri buása ká aré ba		‘si salen de esos’ ‘pues no, porque al cabo no vamos a sentir nada’	'yes, they come out of those''well no, because in the end we aren't going to feel anything'		in243[20_507-20_551].wav
tamó ro kámi che ku simábo re ko (y nosotros adonde vamos a ir?)		‘y nosotros adonde nos iremos?’	'and as for us, where will we go?'		in243[20_551-20_565].wav
pe ku...pe tó t pi ré ko (nos vamos a enterar)		'yo creo nos vamos a enterrar'	'I think we'll be buried'		in243[20_565-20_588].wav
pe toti pi réá ku ripá mo inámi ré a'rá wachína énami ko (a lo meyor los que andan derecho sí van a subir al cielo)		'a lo mejor los que andan derecho sí van a subir al cielo'‘a lo mejor nos vamos a enterrar’	'maybe those who live correctly will ascend to heaven''perhaps we will be buried'		in243[20_588-21_021].wav
á ke re ma tamóm ariwárari bi ko?		‘a lo mejor si de nosotros nomás el alma’	'maybe just our soul'		in243[21_021-21_036].wav
ujummtási níma we sapára ko á ba		‘pues yo creo que la carne pues no va a ser’'uhumm'	'no, the flesh will not be''uhumm'		in243[21_078-21_092].wav
pe tótipa ré, ronoméa be na ba'wí aré ba		‘yo creo que nos vamos a enterrar, porque el agua va a hervir’	'I think we will be buried, because the water is going to boil'		in243[21_092-21_128].wav
dios matétaradios matétara cho ra a'rí chijónsa ko ba...pe ma wikabé ra'íchiri tamí rué pa		‘gracias a Dios, ya me dijiste muchas palabras’'gracias a Dios'	'thank God, you've said many words to me''thank God'		in243[21_208-21_243].wav
cho'á míja		‘apágale, m’hija!’	'turn it off, m'hija!'		in243[21_256-21_271].wav
